ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features,Algorithm
314,0.1242544731610338,0.8021917808219178,"(0.33333, 0.875, 0.89351)","(0.55357, 0.75269, 0.87575)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.15376661597547583, 'facility_mentioned'), (0.08903564987559752, 'proportion_urban'), (0.06225528384117149, 'ruid'), (0.05582404727451952, 'x0_Ruidos'), (0.04904295563123018, 'proportion_protected')]",Gradient Boosting
315,0.3648111332007952,0.5857534246575342,"(0.2266, 0.69979, 0.68269)","(0.54762, 0.5192, 0.63519)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.8022048199181091, 'PC1'), (0.19779518008189081, 'PC2')]",Gradient Boosting
316,0.15009940357852886,0.7928767123287671,"(0.36893, 0.88519, 0.87602)","(0.67857, 0.73425, 0.8499)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.3895971885185469, 'PC5'), (0.27107559123177527, 'PC1'), (0.1869925545261085, 'PC4'), (0.05477799279688319, 'PC2'), (0.049604890997956105, 'PC3')]",Gradient Boosting
317,0.1878727634194831,0.7676712328767124,"(0.33779, 0.82564, 0.86823)","(0.60119, 0.74194, 0.81213)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.36392272206308013, 'PC5'), (0.24753428526852098, 'PC1'), (0.14720426351488627, 'PC4'), (0.05261203624980746, 'PC3'), (0.044499009637114645, 'PC2')]",Gradient Boosting
318,0.15208747514910534,0.793972602739726,"(0.37201, 0.86348, 0.8812)","(0.64881, 0.74808, 0.84791)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.3864360865829221, 'PC5'), (0.26569847420316217, 'PC1'), (0.16476787098431483, 'PC4'), (0.05109981824331941, 'PC3'), (0.04630879334099602, 'PC6')]",Gradient Boosting
319,0.3111332007952286,0.6904109589041096,"(0.31793, 0.7365, 0.81915)","(0.69643, 0.69124, 0.68887)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.4397122138450185, 'PC4'), (0.38393566547503016, 'PC1'), (0.08914172760385317, 'PC3'), (0.08721039307609814, 'PC2')]",Gradient Boosting
320,0.13916500994035785,0.7994520547945205,"(0.37716, 0.87523, 0.88098)","(0.64881, 0.74347, 0.86083)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.3871888283007609, 'PC5'), (0.24251307981457293, 'PC1'), (0.18715119512085127, 'PC4'), (0.055634676757823756, 'PC2'), (0.05301468402960113, 'PC3')]",Gradient Boosting
321,0.525844930417495,0.5347945205479452,"(0.26, 0.46559, 0.69432)","(0.23214, 0.70661, 0.47416)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.38549385338483694, 'PC1'), (0.31156734344636183, 'PC2'), (0.30293880316880123, 'PC3')]",Random Forest
322,0.12922465208747516,0.8104109589041096,"(0.35887, 0.85524, 0.89754)","(0.52976, 0.78955, 0.87078)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.3656657193269783, 'facility_mentioned'), (0.08855659031708862, 'ruid'), (0.07891356753430165, 'x0_Ruidos'), (0.048877232845009104, 'efect ambient'), (0.024124202636536658, 'Topic 37')]",Gradient Boosting
323,0.15308151093439365,0.7139726027397261,"(0.20741, 0.78925, 0.89215)","(0.5, 0.56375, 0.84692)","['num_words', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'proportion_poor_air']","[(0.5748559325628617, 'facility_mentioned'), (0.2561483030698024, 'num_words'), (0.10857315475325045, 'proportion_urban'), (0.06042260961408557, 'proportion_protected')]",Gradient Boosting
