ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features,Algorithm
0,0.15303030303030302,0.606769537083126,"(0.77778, 0.50164, 0.76786)","(0.07174, 0.91742, 0.84697)","['FacilityRegion', 'FacilityEconomicSector']","[(0.15704985830473003, 'FacilityEconomicSector_Equipamiento'), (0.11839694391739389, 'FacilityRegion_Región Metropolitana'), (0.05358706102508936, 'FacilityEconomicSector_Minería'), (0.046712384818446306, 'FacilityRegion_Región de Ñuble'), (0.046107862601444484, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
1,0.1969696969696969,0.662020905923345,"(0.56564, 0.65571, 0.78287)","(0.67496, 0.50901, 0.80303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.13095459577734206, 'FacilityRegion_Región Metropolitana'), (0.12768025577662617, 'FacilityEconomicSector_Equipamiento'), (0.07259438569080283, 'min_num_words'), (0.060441809589026445, 'FacilityEconomicSector_Minería'), (0.049380167386846405, 'FacilityRegion_Región de Ñuble')]",Random Forest
2,0.1696969696969697,0.646590343454455,"(0.52802, 0.70924, 0.76858)","(0.71742, 0.39189, 0.8303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14328261774481363, 'FacilityEconomicSector_Equipamiento'), (0.11278902030256727, 'FacilityRegion_Región Metropolitana'), (0.0585312515476766, 'min_num_words'), (0.052770067449073844, 'FacilityEconomicSector_Minería'), (0.04458278859683214, 'FacilityEconomicSector_Instalación fabril')]",Random Forest
3,0.1818181818181818,0.6172224987555998,"(0.49897, 0.65758, 0.75949)","(0.70717, 0.32583, 0.81818)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14932964116835057, 'FacilityEconomicSector_Equipamiento'), (0.09980833762535336, 'FacilityRegion_Región Metropolitana'), (0.0653891003174349, 'min_num_words'), (0.04942290642417484, 'FacilityEconomicSector_Minería'), (0.04486596089385051, 'FacilityRegion_Región de Ñuble')]",Random Forest
4,0.2136363636363636,0.6202090592334495,"(0.51033, 0.66382, 0.75217)","(0.72328, 0.34985, 0.78636)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14595300942837738, 'FacilityEconomicSector_Equipamiento'), (0.11812821305318512, 'FacilityRegion_Región Metropolitana'), (0.05774729972182425, 'min_num_words'), (0.053816480112491884, 'FacilityEconomicSector_Minería'), (0.047027412507317484, 'FacilityRegion_Región de Ñuble')]",Random Forest
5,0.1969696969696969,0.6341463414634146,"(0.52615, 0.64524, 0.77599)","(0.72182, 0.37688, 0.80303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14447399315331758, 'FacilityEconomicSector_Equipamiento'), (0.11228597008627336, 'FacilityRegion_Región Metropolitana'), (0.06292163569249325, 'min_num_words'), (0.05541591485311541, 'FacilityEconomicSector_Minería'), (0.04800153675653357, 'FacilityRegion_Región de Ñuble')]",Random Forest
6,0.1696969696969697,0.6256844201095072,"(0.51288, 0.64525, 0.76217)","(0.69985, 0.34685, 0.8303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.13794934149333063, 'FacilityEconomicSector_Equipamiento'), (0.10920725424940549, 'FacilityRegion_Región Metropolitana'), (0.06516767094358378, 'min_num_words'), (0.06092168880785588, 'FacilityEconomicSector_Minería'), (0.04696160344482073, 'FacilityRegion_Región de Ñuble')]",Random Forest
7,0.203030303030303,0.5923344947735192,"(0.64211, 0.49711, 0.75036)","(0.08931, 0.90541, 0.79697)","['FacilityRegion', 'FacilityEconomicSector', 'remove_missing_env_topics']","[(0.14644829124110587, 'FacilityEconomicSector_Equipamiento'), (0.1252383196991628, 'FacilityRegion_Región Metropolitana'), (0.06033507660432456, 'FacilityEconomicSector_Minería'), (0.046995436728455055, 'FacilityRegion_Región de Ñuble'), (0.04663082671447046, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
8,0.1393939393939394,0.5823792931806869,"(0.71429, 0.48681, 0.71717)","(0.04392, 0.85886, 0.86061)","['FacilityRegion', 'max_num_words']","[(0.2537879209279383, 'FacilityRegion_Región Metropolitana'), (0.08062868316331613, 'FacilityRegion_Región de Valparaíso'), (0.07523272672192788, 'FacilityRegion_Región de Coquimbo'), (0.0650648200279315, 'FacilityRegion_Región de los Lagos'), (0.06459157063724547, 'FacilityRegion_Región del Maule')]",Random Forest
9,0.1606060606060606,0.5724240915878547,"(0.68421, 0.4876, 0.69077)","(0.03807, 0.85586, 0.83939)","['FacilityRegion', 'max_num_words']","[(0.2470391574217975, 'FacilityRegion_Región Metropolitana'), (0.0882355052211291, 'FacilityRegion_Región de Coquimbo'), (0.0694336069461348, 'FacilityRegion_Región del Biobío'), (0.06799379882341101, 'FacilityRegion_Región de Valparaíso'), (0.058464313901583125, 'FacilityRegion_Región del Maule')]",Random Forest
10,0.1363636363636363,0.5863613738178198,"(0.725, 0.50304, 0.69682)","(0.04246, 0.86937, 0.86364)","['FacilityRegion', 'max_num_words']","[(0.24529833115732153, 'FacilityRegion_Región Metropolitana'), (0.08043604167416908, 'FacilityRegion_Región de Coquimbo'), (0.07824114956584431, 'FacilityRegion_Región de Valparaíso'), (0.06650888271714517, 'FacilityRegion_Región de los Lagos'), (0.06435120732133132, 'FacilityRegion_Región del Maule')]",Random Forest
11,0.1590909090909091,0.5833748133399701,"(0.68293, 0.49915, 0.70431)","(0.041, 0.88438, 0.84091)","['FacilityRegion', 'max_num_words']","[(0.25299894807306594, 'FacilityRegion_Región Metropolitana'), (0.07236159151927264, 'FacilityRegion_Región de Coquimbo'), (0.07011561792707331, 'FacilityRegion_Región de Valparaíso'), (0.06412953168435737, 'FacilityRegion_Región del Maule'), (0.06201879670905704, 'FacilityRegion_Región de los Lagos')]",Random Forest
12,0.1590909090909091,0.5724240915878547,"(0.66667, 0.48338, 0.69899)","(0.041, 0.85135, 0.84091)","['FacilityRegion', 'max_num_words']","[(0.2642007617359495, 'FacilityRegion_Región Metropolitana'), (0.0775259751759441, 'FacilityRegion_Región de Coquimbo'), (0.07107872174016257, 'FacilityRegion_Región de Valparaíso'), (0.06218340731009114, 'FacilityRegion_Región del Biobío'), (0.06213765955981179, 'FacilityRegion_Región del Maule')]",Random Forest
13,0.1818181818181818,0.5769039323046292,"(0.63158, 0.48851, 0.71713)","(0.03514, 0.89339, 0.81818)","['FacilityRegion', 'max_num_words']","[(0.24757862392327087, 'FacilityRegion_Región Metropolitana'), (0.07724130548392581, 'FacilityRegion_Región de Valparaíso'), (0.06929656377461375, 'FacilityRegion_Región del Biobío'), (0.06820906394524416, 'FacilityRegion_Región de Coquimbo'), (0.06332789819545424, 'FacilityRegion_Región de los Lagos')]",Random Forest
14,0.1484848484848485,0.5793927327028372,"(0.65909, 0.49482, 0.69641)","(0.04246, 0.86036, 0.85152)","['FacilityRegion', 'max_num_words']","[(0.2665318070739237, 'FacilityRegion_Región Metropolitana'), (0.07626321647426537, 'FacilityRegion_Región de Coquimbo'), (0.07245696874182467, 'FacilityRegion_Región de Valparaíso'), (0.06932131436633936, 'FacilityRegion_Región del Biobío'), (0.06420932096484126, 'FacilityRegion_Región del Maule')]",Random Forest
15,0.1590909090909091,0.5734196117471378,"(0.44444, 0.48619, 0.71337)","(0.02343, 0.87237, 0.84091)","['FacilityRegion', 'max_num_words']","[(0.2530657573987851, 'FacilityRegion_Región Metropolitana'), (0.07403624826152556, 'FacilityRegion_Región de Valparaíso'), (0.07012199891245097, 'FacilityRegion_Región de Coquimbo'), (0.06462135184053049, 'FacilityRegion_Región del Maule'), (0.061739500846993464, 'FacilityRegion_Región del Biobío')]",Random Forest
16,0.1439393939393939,0.5674464907914385,"(0.0, 0.49272, 0.67102)","(0.0, 0.86336, 0.85606)","['max_num_words', 'natural_region']","[(0.4370127362515773, 'natural_region_Central'), (0.20400135861847427, 'natural_region_Near North'), (0.1557610883356505, 'natural_region_South'), (0.12009221353303287, 'natural_region_Austral'), (0.0831326032612651, 'natural_region_Far North')]",Random Forest
17,0.1363636363636363,0.5699352911896466,"(0.0, 0.49526, 0.67217)","(0.0, 0.86336, 0.86364)","['max_num_words', 'natural_region']","[(0.407851712851319, 'natural_region_Central'), (0.1972729810174774, 'natural_region_Near North'), (0.16214787748897508, 'natural_region_South'), (0.13723220677388306, 'natural_region_Austral'), (0.09549522186834537, 'natural_region_Far North')]",Random Forest
18,0.1636363636363636,0.5918367346938775,"(0.5102, 0.51385, 0.71782)","(0.0366, 0.91892, 0.83636)","['natural_region', 'FacilityEconomicSector']","[(0.24380441281596443, 'natural_region_Central'), (0.1310955585985854, 'FacilityEconomicSector_Equipamiento'), (0.10805514427906837, 'natural_region_Near North'), (0.08625277415936386, 'natural_region_South'), (0.06412060636851559, 'FacilityEconomicSector_Minería')]",Random Forest
19,0.1772727272727272,0.5988053758088602,"(0.63218, 0.50969, 0.73878)","(0.08053, 0.90841, 0.82273)","['FacilityRegion', 'FacilityEconomicSector']","[(0.15503728290763186, 'FacilityEconomicSector_Equipamiento'), (0.14228227268765392, 'FacilityRegion_Región Metropolitana'), (0.0633649584309454, 'FacilityEconomicSector_Minería'), (0.051753828459796744, 'FacilityRegion_Región de Ñuble'), (0.04082338436345728, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
20,0.1409090909090909,0.584868093578895,"(0.64286, 0.50129, 0.70173)","(0.03953, 0.87237, 0.85909)","['FacilityRegion', 'EnvironmentalTopic']","[(0.24914233727780247, 'FacilityRegion_Región Metropolitana'), (0.07996181437318835, 'FacilityRegion_Región de Coquimbo'), (0.06668166064605513, 'FacilityRegion_Región de Valparaíso'), (0.06375923657878937, 'FacilityRegion_Región del Maule'), (0.06192400590741319, 'FacilityRegion_Región del Biobío')]",Random Forest
21,0.2121212121212121,0.5923344947735192,"(0.68605, 0.49796, 0.74713)","(0.08638, 0.91742, 0.78788)","['FacilityRegion', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.1457454375371413, 'FacilityEconomicSector_Equipamiento'), (0.12897974419090097, 'FacilityRegion_Región Metropolitana'), (0.06685160576250496, 'FacilityEconomicSector_Minería'), (0.055087501931344096, 'FacilityRegion_Región de Ñuble'), (0.04409755164163049, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
22,0.1893939393939394,0.5754106520657043,"(0.36, 0.5025, 0.70487)","(0.02635, 0.90541, 0.81061)","['natural_region', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.23313612135208864, 'natural_region_Central'), (0.1497221991405061, 'FacilityEconomicSector_Equipamiento'), (0.11150486546886024, 'natural_region_Near North'), (0.08496579222750916, 'natural_region_South'), (0.0670849099786346, 'natural_region_Austral')]",Random Forest
23,0.7606060606060606,0.3544051767048283,"(0.0, 0.33739, 0.43288)","(0.0, 0.83183, 0.23939)","['FacilityRegion', 'FacilityEconomicSector', 'ComplaintType']","[(0.4994987938246523, 'ComplaintType_Sectorial'), (0.25979055983131916, 'ComplaintType_Ciudadana'), (0.097835183995189, 'ComplaintType_Municipal'), (0.07361761166067295, 'ComplaintType_Autoridad'), (0.06925785068816662, 'ComplaintType_Autodenuncia')]",Random Forest
24,0.1878787878787878,0.6137381781981085,"(0.61585, 0.51424, 0.78134)","(0.14788, 0.89489, 0.81212)","['FacilityRegion', 'FacilityEconomicSector', 'ComplaintType']","[(0.133975345059634, 'FacilityEconomicSector_Equipamiento'), (0.12544570785062975, 'FacilityRegion_Región Metropolitana'), (0.046638429678780256, 'FacilityRegion_Región de Ñuble'), (0.04528056153595903, 'FacilityEconomicSector_Minería'), (0.04103550038813315, 'FacilityEconomicSector_Pesca y Acuicultura')]",Random Forest
25,0.1848484848484848,0.7322050771528124,"(0.65976, 0.72795, 0.81024)","(0.653, 0.73123, 0.81515)","['FacilityRegion', 'EnvironmentalTopic', 'FacilityEconomicSector', 'ComplaintType']","[(0.15818586045633742, 'Ruidos'), (0.08720598715833401, 'FacilityRegion_Región Metropolitana'), (0.07421590976728848, 'FacilityEconomicSector_Equipamiento'), (0.0399154865009914, 'FacilityEconomicSector_Minería'), (0.032825430279000055, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
26,0.1893939393939394,0.7217521154803385,"(0.66514, 0.74419, 0.75352)","(0.6369, 0.72072, 0.81061)","['natural_region', 'EnvironmentalTopic', 'FacilityEconomicSector', 'ComplaintType']","[(0.15851050579028386, 'Ruidos'), (0.12637709214616855, 'natural_region_Central'), (0.07539451922266582, 'FacilityEconomicSector_Equipamiento'), (0.06207585291049684, 'natural_region_Near North'), (0.056327110392073394, 'natural_region_South')]",Random Forest
27,0.1848484848484848,0.6575410652065704,"(0.53983, 0.69251, 0.80539)","(0.75403, 0.4024, 0.81515)","['natural_region', 'FacilityEconomicSector', 'min_num_words']","[(0.19692582489536542, 'natural_region_Central'), (0.07398172700043093, 'natural_region_Near North'), (0.07244122086568912, 'natural_region_South'), (0.05846373172388795, 'natural_region_Austral'), (0.05759328259252249, 'min_num_words')]",Random Forest
28,0.2303030303030303,0.5968143354902937,"(0.61029, 0.49918, 0.77557)","(0.12152, 0.91291, 0.7697)","['natural_region', 'FacilityEconomicSector', 'max_num_words']","[(0.21361961747794428, 'natural_region_Central'), (0.07620626185904815, 'natural_region_Near North'), (0.06723167348393132, 'natural_region_South'), (0.060132531195749156, 'natural_region_Austral'), (0.04893998941845904, 'natural_region_Far North')]",Random Forest
29,0.2469696969696969,0.5923344947735192,"(0.5942, 0.49354, 0.78515)","(0.12006, 0.91742, 0.75303)","['natural_region', 'max_num_words']","[(0.21582441753539477, 'natural_region_Central'), (0.07820251666303901, 'natural_region_Near North'), (0.07371731741552423, 'natural_region_South'), (0.060857075370545896, 'natural_region_Austral'), (0.045747330947330536, 'natural_region_Far North')]",Random Forest
30,0.1893939393939394,0.6147336983573918,"(0.64167, 0.50899, 0.80451)","(0.11274, 0.93544, 0.81061)","['natural_region', 'max_num_words']","[(0.15382827961464102, 'natural_region_Central'), (0.09304274322250725, 'FacilityEconomicSector_Equipamiento'), (0.07055921257017424, 'natural_region_Near North'), (0.050376019448071865, 'natural_region_South'), (0.046491453712586825, 'natural_region_Austral')]",Random Forest
31,0.2757575757575757,0.5953210552513688,"(0.49565, 0.49468, 0.85663)","(0.16691, 0.90691, 0.72424)","['natural_region', 'facility_num_sanctions']","[(0.6635360733488638, 'facility_num_sanctions'), (0.1705936610668868, 'natural_region_Central'), (0.06184718807504041, 'natural_region_Near North'), (0.04679115495061804, 'natural_region_South'), (0.0316708158731554, 'natural_region_Austral')]",Random Forest
32,0.2575757575757575,0.7317073170731707,"(0.64629, 0.72632, 0.85217)","(0.72767, 0.72523, 0.74242)","['natural_region', 'facility_num_sanctions', 'EnvironmentalTopic']","[(0.4646771132474597, 'facility_num_sanctions'), (0.17367360405915988, 'Ruidos'), (0.07950806726211684, 'natural_region_Central'), (0.03798584168674848, 'natural_region_Near North'), (0.031923062342207834, 'Olores')]",Random Forest
33,0.2196969696969697,0.7356893977103036,"(0.65854, 0.70877, 0.8612)","(0.71157, 0.71622, 0.7803)","['natural_region', 'facility_num_sanctions', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.3268668524638301, 'facility_num_sanctions'), (0.1634347382650439, 'Ruidos'), (0.08576481421865999, 'natural_region_Central'), (0.04942724113250861, 'FacilityEconomicSector_Equipamiento'), (0.04042456969355151, 'natural_region_Near North')]",Random Forest
34,0.2,0.7740169238427078,"(0.70401, 0.73684, 0.90566)","(0.74524, 0.77778, 0.8)","['natural_region', 'facility_num_sanctions', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.3134688511705183, 'facility_num_sanctions'), (0.12420603022581085, 'Ruidos'), (0.0822161492331772, 'natural_region_Central'), (0.03099816032241072, 'natural_region_Near North'), (0.028274702472942424, 'natural_region_South')]",Random Forest
35,0.1893939393939394,0.7690393230462916,"(0.70564, 0.74401, 0.87134)","(0.7511, 0.74625, 0.81061)","['natural_region', 'facility_has_sanctions', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.31578553177561675, 'facility_has_sanctions'), (0.1435345274491694, 'Ruidos'), (0.06696057322938287, 'natural_region_Central'), (0.03310237136098407, 'natural_region_Near North'), (0.029726126308911596, 'natural_region_South')]",Random Forest
36,0.2106060606060606,0.7610751617720258,"(0.68079, 0.72754, 0.90609)","(0.75256, 0.74174, 0.78939)","['natural_region', 'facility_has_sanctions', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.32783817138663174, 'facility_has_sanctions'), (0.1455686516278823, 'Ruidos'), (0.06339589663857194, 'natural_region_Central'), (0.030761864490935827, 'natural_region_Near North'), (0.02561583902714718, nan)]",Random Forest
37,0.1848484848484848,0.7536087605774017,"(0.68276, 0.74114, 0.84724)","(0.72474, 0.72222, 0.81515)","['natural_region', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.31502259274226657, 'facility_num_inspections'), (0.1261862600265463, 'Ruidos'), (0.0645077472142568, 'natural_region_Central'), (0.03264238026464821, 'Olores'), (0.032316227330364815, 'natural_region_Near North')]",Random Forest
38,0.20606060606060608,0.7307117969138875,"(0.65657, 0.71912, 0.8239)","(0.66618, 0.73423, 0.79394)","['natural_region', 'facility_has_inspections', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.23249050409196323, 'facility_has_inspections'), (0.14156257330717803, 'Ruidos'), (0.08698048314984513, 'natural_region_Central'), (0.034867177129937706, 'Olores'), (0.03464426864389411, 'natural_region_Near North')]",Random Forest
39,0.25606060606060604,0.7396714783474365,"(0.6631, 0.71902, 0.86596)","(0.72621, 0.74925, 0.74394)","['natural_region', 'facility_has_inspections', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.22163872905834725, 'facility_num_inspections'), (0.165453311368537, 'facility_has_inspections'), (0.13213732129925762, 'Ruidos'), (0.04137761087524318, 'natural_region_Central'), (0.026591122172376098, 'Olores')]",Random Forest
40,0.2136363636363636,0.6361373817819811,"(0.75568, 0.50525, 0.87374)","(0.19473, 0.93994, 0.78636)","['facility_num_sanctions', 'facility_num_inspections']","[(0.37859157933946685, 'facility_num_sanctions'), (0.31879288603247286, 'facility_num_inspections'), (0.038150829898881515, 'FacilityEconomicSubSector_Planta de Tratamiento de Aguas Servidas'), (0.022989428554397548, 'FacilityEconomicSubSector_Producción agrícola / cultivos'), (0.01910944216781264, 'FacilityEconomicSubSector_Discoteca / pub')]",Random Forest
41,0.1969696969696969,0.7406669985067198,"(0.68598, 0.72884, 0.80793)","(0.65886, 0.76276, 0.80303)","['natural_region', 'facility_has_inspections', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.23521973138086136, 'facility_num_inspections'), (0.19271853052444596, 'facility_has_inspections'), (0.13279403746984345, 'Ruidos'), (0.05126171713834342, 'natural_region_Central'), (0.03726064695744429, 'Olores')]",Random Forest
42,0.2257575757575757,0.7705326032852166,"(0.68482, 0.75632, 0.90442)","(0.77306, 0.76426, 0.77424)","['natural_region', 'facility_num_sanctions', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.26679662781477737, 'facility_num_sanctions'), (0.20342476811569216, 'facility_num_inspections'), (0.14172259671678789, 'Ruidos'), (0.049948906457448185, 'natural_region_Central'), (0.04140182643108993, 'FacilityEconomicSector_Equipamiento')]",Random Forest
53,0.2318181818181818,0.6217023394723743,"(0.5656, 0.50929, 0.85932)","(0.28404, 0.82282, 0.76818)","['natural_region', 'facility_num_sanctions', 'populated_districts']","[(0.4422938453974867, 'facility_num_sanctions'), (0.09731066094864588, 'natural_region_Central'), (0.06782473624940634, 'populated_districts'), (0.06141320706892386, 'FacilityEconomicSector_Equipamiento'), (0.04145546558891548, 'natural_region_Near North')]",Random Forest
54,0.2257575757575757,0.7650572424091587,"(0.69872, 0.75629, 0.86172)","(0.79795, 0.72222, 0.77424)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region']","[(0.30402396589269715, 'facility_num_sanctions'), (0.23938460405385786, 'num_words'), (0.12446593067232203, 'Ruidos'), (0.07249030582614463, 'natural_region_Central'), (0.0316888806711195, 'natural_region_Near North')]",Random Forest
45,0.2136363636363636,0.7909407665505227,"(0.69827, 0.82624, 0.89483)","(0.88433, 0.6997, 0.78636)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSector']","[(0.251941617673359, 'facility_num_sanctions'), (0.21668831779510248, 'num_words'), (0.11452151614762232, 'Ruidos'), (0.06176378213355109, 'natural_region_Central'), (0.03734399257000757, 'FacilityEconomicSector_Equipamiento')]",Random Forest
46,0.1878787878787878,0.79940268790443,"(0.74008, 0.7748, 0.90388)","(0.84627, 0.73874, 0.81212)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSector', 'facility_num_inspections']","[(0.20693862890909231, 'facility_num_sanctions'), (0.20093560293412985, 'num_words'), (0.15810063011675957, 'facility_num_inspections'), (0.10875355865475889, 'Ruidos'), (0.03437887236662487, 'natural_region_Central')]",Random Forest
47,0.1606060606060606,0.8173220507715281,"(0.72844, 0.84029, 0.92333)","(0.91508, 0.6952, 0.83939)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSubSector', 'facility_num_inspections']","[(0.19519269480084592, 'num_words'), (0.17469425612837886, 'facility_num_sanctions'), (0.148047026783432, 'facility_num_inspections'), (0.0983979221496516, 'Ruidos'), (0.03882815826758383, 'natural_region_Central')]",Random Forest
48,0.15,0.5699352911896466,"(0.65116, 0.48264, 0.68919)","(0.041, 0.83483, 0.85)","['max_num_words', 'FacilityRegion']","[(0.24033401387700118, 'FacilityRegion_Región Metropolitana'), (0.08049660961635285, 'FacilityRegion_Región de Valparaíso'), (0.07497778651555786, 'FacilityRegion_Región de Coquimbo'), (0.06578262785138331, 'FacilityRegion_Región del Biobío'), (0.06384519582885317, 'FacilityRegion_Región del Maule')]",Random Forest
49,0.1757575757575757,0.5978098556495769,"(0.68889, 0.49296, 0.76404)","(0.09078, 0.89339, 0.82424)","['FacilityEconomicSector', 'FacilityRegion']","[(0.14801541795575363, 'FacilityEconomicSector_Equipamiento'), (0.135090301986346, 'FacilityRegion_Región Metropolitana'), (0.061905548513841335, 'FacilityEconomicSector_Minería'), (0.052733856221347415, 'FacilityRegion_Región de Ñuble'), (0.040555034647919846, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
50,0.2,0.5699352911896466,"(0.43333, 0.48749, 0.71351)","(0.01903, 0.90691, 0.8)","['FacilityEconomicSector', 'natural_region']","[(0.23467841514385943, 'natural_region_Central'), (0.15197944749059114, 'FacilityEconomicSector_Equipamiento'), (0.11649958324825045, 'natural_region_Near North'), (0.0800118888223501, 'natural_region_South'), (0.06901386775091789, 'natural_region_Austral')]",Random Forest
51,0.2212121212121212,0.6082628173220508,"(0.64626, 0.50578, 0.79077)","(0.13909, 0.92042, 0.77879)","['FacilityEconomicSubSector', 'natural_region']","[(0.20080695769682036, 'natural_region_Central'), (0.09380836989378165, 'natural_region_Near North'), (0.06936899830938487, 'natural_region_South'), (0.054623199771660025, 'natural_region_Austral'), (0.04605884383657161, 'FacilityEconomicSubSector_Planta de Tratamiento de Aguas Servidas')]",Random Forest
53,0.1863636363636363,0.6077650572424091,"(0.50586, 0.55995, 0.72764)","(0.37921, 0.63814, 0.81364)","['natural_region', 'month']","[(0.3025127869671385, 'natural_region_Central'), (0.19753025762803902, 'month'), (0.16209744143261579, 'natural_region_Near North'), (0.12714624567221078, 'natural_region_South'), (0.10761719098484385, 'natural_region_Austral')]",Random Forest
53,0.15606060606060598,0.6241911398705824,"(0.55024, 0.55795, 0.73873)","(0.33675, 0.7012, 0.84394)","['natural_region', 'month', 'quarter']","[(0.3170275985158353, 'natural_region_Central'), (0.17668800999855724, 'natural_region_Near North'), (0.15237726053719172, 'month'), (0.1102242924297242, 'natural_region_South'), (0.10857116475830211, 'natural_region_Austral')]",Random Forest
54,0.1409090909090909,0.8402190144350423,"(0.78907, 0.84034, 0.90431)","(0.90922, 0.75075, 0.85909)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.17758526718671816, 'num_words'), (0.1454044174750921, 'facility_num_sanctions'), (0.13282285513613987, 'facility_num_inspections'), (0.12287737395850709, 'month'), (0.08132926705468996, 'Ruidos')]",Random Forest
55,0.1363636363636363,0.8566450970632156,"(0.79602, 0.87201, 0.92084)","(0.93704, 0.76727, 0.86364)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.1661074805911448, 'num_words'), (0.14654927177323546, 'facility_num_sanctions'), (0.1428899015074481, 'facility_num_inspections'), (0.1249121113694661, 'month'), (0.08334995386923659, 'Ruidos')]",Random Forest
56,0.1666666666666666,0.8327526132404182,"(0.77975, 0.82573, 0.90909)","(0.9019, 0.76126, 0.83333)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.17271074294719893, 'num_words'), (0.16411319978572542, 'facility_num_sanctions'), (0.11923940727104036, 'month'), (0.1160475826055832, 'facility_num_inspections'), (0.08620154056886051, 'Ruidos')]",Random Forest
57,0.8597285067873304,0.3561643835616438,"(0.3964, 0.33686, 0.41892)","(0.20465, 0.71946, 0.14027)","['ComplaintType', 'TF-IDF']","[(0.21310846607611028, 'ComplaintType_Sectorial'), (0.20601393824017106, 'el'), (0.14623221496801067, 'ComplaintType_Municipal'), (0.12779249282975144, 'ComplaintType_Ciudadana'), (0.0934152328004918, 'ComplaintType_Autoridad')]",Random Forest
58,0.7330316742081447,0.4185692541856925,"(0.42966, 0.44017, 0.36875)","(0.52558, 0.46606, 0.26697)","['num_words', 'TF-IDF']","[(0.9555407719546747, 'num_words'), (0.021194311417349978, 'el'), (0.00728030797103974, 'que'), (0.0057082458579614795, 'ruidos'), (0.003441548406475324, 'por')]",Random Forest
59,0.6923076923076923,0.4277016742770167,"(0.44298, 0.41026, 0.4359)","(0.46977, 0.50679, 0.30769)","['num_words', 'TF-IDF']","[(0.9610418918825825, 'num_words'), (0.014639875178368443, 'el'), (0.00529342761758, 'ruidos'), (0.005164856300539071, 'por'), (0.0031845200330881274, 'no')]",Random Forest
60,0.15606060606060598,0.8551518168242906,"(0.8183, 0.86745, 0.88978)","(0.9429, 0.77628, 0.84394)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.2686697742723817, 'num_words'), (0.14271822059958578, 'facility_num_sanctions'), (0.11228933695600324, 'month'), (0.11125018376817081, 'facility_num_inspections'), (0.07688074885278177, 'Ruidos')]",Random Forest
61,0.7194570135746606,0.4185692541856925,"(0.40856, 0.4252, 0.42466)","(0.48837, 0.48869, 0.28054)","['num_words', 'TF-IDF']","[(1.0, 'num_words'), (0.0, 'ya que'), (0.0, 'ruidos molestos'), (0.0, 'que se'), (0.0, 'que no')]",Random Forest
62,0.4570135746606334,0.6666666666666666,"(0.816, 0.58163, 0.56872)","(0.94884, 0.51584, 0.54299)","['num_words', 'LDA']","[(0.21263642661013338, 'row_number'), (0.09417569624647372, 'num_words'), (0.06813729650242853, 6.0), (0.06723373056164887, 3.0), (0.06408399431091005, 0.0)]",Random Forest
