ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features
79,0.1787878787878788,0.6107516177202589,"(0.66087, 0.50289, 0.79356)","(0.11127, 0.91441, 0.82121)","['ComplaintType', 'FacilityRegion', 'FacilityEconomicSector']","[(0.13454569255587057, 'FacilityEconomicSector_Equipamiento'), (0.12677087717445037, 'FacilityRegion_Región Metropolitana'), (0.05441703687081045, 'FacilityEconomicSector_Minería'), (0.04367220365434135, 'FacilityRegion_Región de Ñuble'), (0.040909384204130074, 'FacilityRegion_Región de los Lagos')]"
80,0.8696969696969697,0.3638626182180189,"(0.35227, 0.0, 0.48315)","(0.94436, 0.0, 0.1303)",['ComplaintType'],"[(0.36982188478684436, 'ComplaintType_Sectorial'), (0.30352883240228107, 'ComplaintType_Ciudadana'), (0.1593930880095697, 'ComplaintType_Municipal'), (0.09101924379532006, 'ComplaintType_Autoridad'), (0.07623695100598481, 'ComplaintType_Autodenuncia')]"
81,0.1833333333333333,0.8412145345943255,"(0.82481, 0.85473, 0.84882)","(0.94436, 0.75976, 0.81667)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'FacilityRegion', 'FacilityEconomicSubSector', 'month']","[(0.29865063428760047, 'num_words'), (0.1364456596010093, 'month'), (0.07235732336714713, 'Ruidos'), (0.04981182376389502, 'FacilityRegion_Región Metropolitana'), (0.01625025827201904, 'FacilityRegion_Región de los Lagos')]"
82,0.1424242424242424,0.8606271777003485,"(0.84926, 0.86645, 0.8681)","(0.92387, 0.7988, 0.85758)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.27190344286461227, 'num_words'), (0.11767442461823006, 'facility_num_sanctions'), (0.11664353637019337, 'facility_num_inspections'), (0.11054473808276512, 'month'), (0.07591236007085918, 'Ruidos')]"
83,0.6236559139784946,0.5296296296296297,"(0.50476, 0.6044, 0.47297)","(0.67949, 0.55556, 0.37634)","['FacilityRegion', 'RAKE']","[(0.2724100483798343, 'FacilityRegion_Región de Antofagasta'), (0.1698249146633258, 'FacilityRegion_Región de Ñuble'), (0.14304869268308287, 'FacilityRegion_Región Metropolitana'), (0.09348015812380336, 'rake_feature'), (0.03773389788902561, 'FacilityRegion_Región de Coquimbo')]"
84,0.2291666666666666,0.825925925925926,"(0.80645, 0.84091, 0.83146)","(0.92593, 0.7957, 0.77083)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.1292330587667163, 'facility_num_sanctions'), (0.11159338098390287, 'Ruidos'), (0.09773182956870788, 'num_words'), (0.07244433176609785, 'facility_num_inspections'), (0.07204040608529705, 'month')]"
85,0.206060606060606,0.5838725734196117,"(0.73469, 0.49555, 0.72476)","(0.05271, 0.92042, 0.79394)","['FacilityRegion', 'RAKE']","[(0.2322237653407691, 'FacilityRegion_Región Metropolitana'), (0.07151392339250562, 'FacilityRegion_Región de Coquimbo'), (0.06262352577870281, 'FacilityRegion_Región del Biobío'), (0.06261882864000143, 'FacilityRegion_Región de Valparaíso'), (0.06195361628073954, 'FacilityRegion_Región de los Lagos')]"
86,0.8696969696969697,0.3782976605276257,"(0.35566, 0.48739, 0.5443)","(0.9019, 0.08709, 0.1303)","['ComplaintType', 'RAKE']","[(0.3612265258657769, 'ComplaintType_Sectorial'), (0.24813314698385425, 'rake_feature'), (0.1586948999329298, 'ComplaintType_Ciudadana'), (0.11650467594792664, 'ComplaintType_Municipal'), (0.0655032172951531, 'ComplaintType_Autoridad')]"
87,0.1727272727272727,0.5699352911896466,"(0.5, 0.48856, 0.69732)","(0.00146, 0.8979, 0.82727)","['FacilityEconomicSector', 'RAKE']","[(0.2651249168312564, 'FacilityEconomicSector_Equipamiento'), (0.1050999450937689, 'FacilityEconomicSector_Minería'), (0.09332498924424414, 'FacilityEconomicSector_Agroindustrias'), (0.08628767578058931, 'FacilityEconomicSector_Instalación fabril'), (0.08505709494605411, 'FacilityEconomicSector_Vivienda e Inmobiliarios')]"
88,0.9712121212121212,0.5221503235440518,"(0.51426, 0.53299, 0.45238)","(0.73939, 0.78829, 0.02879)","['EnvironmentalTopic', 'RAKE']","[(0.41406368499135776, 'Ruidos'), (0.11252230151587839, 'Olores'), (0.05681194749837029, 'Emisiones atmosféricas'), (0.055333512702430025, nan), (0.05328833066611891, 'Residuos / sustancias peligrosas')]"
89,0.956060606060606,0.5151816824290691,"(0.5072, 0.54171, 0.32222)","(0.72182, 0.77027, 0.04394)","['EnvironmentalTopic', 'RAKE']","[(0.4255512049089616, 'Ruidos'), (0.10459617147885099, 'Olores'), (0.06816616016921105, nan), (0.052434551256302295, 'Emisiones atmosféricas'), (0.04669218200738051, 'Residuos / sustancias peligrosas')]"
90,0.9590909090909092,0.5171727227476356,"(0.50498, 0.53102, 0.5)","(0.74231, 0.75826, 0.04091)","['EnvironmentalTopic', 'RAKE']","[(0.4224497216904532, 'Ruidos'), (0.10515137706493315, 'Olores'), (0.06888986912240175, nan), (0.0531519416431567, 'Emisiones atmosféricas'), (0.04235995200130667, 'rake_feature')]"
91,0.2742424242424242,0.5973120955699353,"(0.50598, 0.49541, 0.85689)","(0.18594, 0.89189, 0.72576)","['RAKE', 'sanction_inspection_ratio', 'ComplaintType']","[(0.5308040868071242, 'facility_num_sanctions'), (0.3727237267197566, 'facility_num_inspections'), (0.04481573663699446, 'sanction_inspection_ratio'), (0.02079137518171072, 'rake_feature'), (0.008566199624495773, 'ComplaintType_Sectorial')]"
92,0.2257575757575757,0.7312095569935291,"(0.64253, 0.69151, 0.90925)","(0.81845, 0.5991, 0.77424)","['RAKE', 'sanction_inspection_ratio', 'ComplaintType', 'num_words']","[(0.4520304492095038, 'num_words'), (0.2423040172518447, 'facility_num_sanctions'), (0.24166975265777269, 'facility_num_inspections'), (0.022189508070569238, 'sanction_inspection_ratio'), (0.010084530850220418, 'rake_feature')]"
93,0.5863636363636363,0.5326032852165257,"(0.50673, 0.58824, 0.53529)","(0.7716, 0.40541, 0.41364)","['RAKE', 'sanction_inspection_ratio', 'ComplaintType', 'num_words']","[(0.7782829747288283, 'num_words'), (0.15644173827852606, 'sanction_inspection_ratio'), (0.019643616276754688, 'rake_feature'), (0.018449051521610946, 'ComplaintType_Sectorial'), (0.01437081038296933, 'ComplaintType_Ciudadana')]"
94,0.3318181818181818,0.6764559482329517,"(0.57841, 0.67179, 0.87154)","(0.83163, 0.52553, 0.66818)","['RAKE', 'facility_num_sanctions', 'ComplaintType', 'num_words']","[(0.49960069133533636, 'num_words'), (0.46263438940504725, 'facility_num_sanctions'), (0.011707508577028517, 'ComplaintType_Sectorial'), (0.010358969809267149, 'rake_feature'), (0.0062470173548258455, 'ComplaintType_Ciudadana')]"
95,0.2681818181818182,0.6879044300647088,"(0.59487, 0.66545, 0.8579)","(0.78038, 0.54955, 0.73182)","['RAKE', 'facility_num_inspections', 'ComplaintType', 'num_words']","[(0.5128580512736881, 'num_words'), (0.4534704313914867, 'facility_num_inspections'), (0.009565248666711363, 'ComplaintType_Sectorial'), (0.0072358194713423125, 'rake_feature'), (0.006473192053184815, 'ComplaintType_Ciudadana')]"
96,0.2151515151515151,0.7167745146839224,"(0.62322, 0.68512, 0.88245)","(0.77013, 0.59459, 0.78485)","['RAKE', 'facility_num_inspections', 'facility_num_sanctions', 'ComplaintType', 'num_words']","[(0.4446473086821968, 'num_words'), (0.2778263161561178, 'facility_num_sanctions'), (0.2366108858128824, 'facility_num_inspections'), (0.010784320412050656, 'rake_feature'), (0.009918962838276318, 'ComplaintType_Sectorial')]"
