ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features
37,0.1848484848484848,0.7536087605774017,"(0.68276, 0.74114, 0.84724)","(0.72474, 0.72222, 0.81515)","['natural_region', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.31502259274226657, 'facility_num_inspections'), (0.1261862600265463, 'Ruidos'), (0.0645077472142568, 'natural_region_Central'), (0.03264238026464821, 'Olores'), (0.032316227330364815, 'natural_region_Near North')]"
38,0.206060606060606,0.7307117969138875,"(0.65657, 0.71912, 0.8239)","(0.66618, 0.73423, 0.79394)","['natural_region', 'facility_has_inspections', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.23249050409196323, 'facility_has_inspections'), (0.14156257330717803, 'Ruidos'), (0.08698048314984513, 'natural_region_Central'), (0.034867177129937706, 'Olores'), (0.03464426864389411, 'natural_region_Near North')]"
39,0.256060606060606,0.7396714783474365,"(0.6631, 0.71902, 0.86596)","(0.72621, 0.74925, 0.74394)","['natural_region', 'facility_has_inspections', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSubSector']","[(0.22163872905834725, 'facility_num_inspections'), (0.165453311368537, 'facility_has_inspections'), (0.13213732129925762, 'Ruidos'), (0.04137761087524318, 'natural_region_Central'), (0.026591122172376098, 'Olores')]"
40,0.2136363636363636,0.6361373817819811,"(0.75568, 0.50525, 0.87374)","(0.19473, 0.93994, 0.78636)","['facility_num_sanctions', 'facility_num_inspections']","[(0.37859157933946685, 'facility_num_sanctions'), (0.31879288603247286, 'facility_num_inspections'), (0.038150829898881515, 'FacilityEconomicSubSector_Planta de Tratamiento de Aguas Servidas'), (0.022989428554397548, 'FacilityEconomicSubSector_Producción agrícola / cultivos'), (0.01910944216781264, 'FacilityEconomicSubSector_Discoteca / pub')]"
41,0.1969696969696969,0.7406669985067198,"(0.68598, 0.72884, 0.80793)","(0.65886, 0.76276, 0.80303)","['natural_region', 'facility_has_inspections', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.23521973138086136, 'facility_num_inspections'), (0.19271853052444596, 'facility_has_inspections'), (0.13279403746984345, 'Ruidos'), (0.05126171713834342, 'natural_region_Central'), (0.03726064695744429, 'Olores')]"
42,0.2257575757575757,0.7705326032852166,"(0.68482, 0.75632, 0.90442)","(0.77306, 0.76426, 0.77424)","['natural_region', 'facility_num_sanctions', 'facility_num_inspections', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.26679662781477737, 'facility_num_sanctions'), (0.20342476811569216, 'facility_num_inspections'), (0.14172259671678789, 'Ruidos'), (0.049948906457448185, 'natural_region_Central'), (0.04140182643108993, 'FacilityEconomicSector_Equipamiento')]"
53,0.2318181818181818,0.6217023394723743,"(0.5656, 0.50929, 0.85932)","(0.28404, 0.82282, 0.76818)","['natural_region', 'facility_num_sanctions', 'populated_districts']","[(0.4422938453974867, 'facility_num_sanctions'), (0.09731066094864588, 'natural_region_Central'), (0.06782473624940634, 'populated_districts'), (0.06141320706892386, 'FacilityEconomicSector_Equipamiento'), (0.04145546558891548, 'natural_region_Near North')]"
54,0.2257575757575757,0.7650572424091587,"(0.69872, 0.75629, 0.86172)","(0.79795, 0.72222, 0.77424)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region']","[(0.30402396589269715, 'facility_num_sanctions'), (0.23938460405385786, 'num_words'), (0.12446593067232203, 'Ruidos'), (0.07249030582614463, 'natural_region_Central'), (0.0316888806711195, 'natural_region_Near North')]"
45,0.2136363636363636,0.7909407665505227,"(0.69827, 0.82624, 0.89483)","(0.88433, 0.6997, 0.78636)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSector']","[(0.251941617673359, 'facility_num_sanctions'), (0.21668831779510248, 'num_words'), (0.11452151614762232, 'Ruidos'), (0.06176378213355109, 'natural_region_Central'), (0.03734399257000757, 'FacilityEconomicSector_Equipamiento')]"
46,0.1878787878787878,0.79940268790443,"(0.74008, 0.7748, 0.90388)","(0.84627, 0.73874, 0.81212)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSector', 'facility_num_inspections']","[(0.20693862890909231, 'facility_num_sanctions'), (0.20093560293412985, 'num_words'), (0.15810063011675957, 'facility_num_inspections'), (0.10875355865475889, 'Ruidos'), (0.03437887236662487, 'natural_region_Central')]"
